Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All,All Saints,All_Dest,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal
,13.0,,,,508.0,,,,,,,,,,,,,,-139.0,,,,,,,,,,,-257.0,,,,,,,,,,,,,10.0,16.0,,,,5.0,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,17.0,,,,,,,,18.0,,,,,,,,,,,,,-17.0,,,,,,19.0,,,,,,,,23.0,,,,-43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,18.0,,15.0,,4.0,,,,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,41.0,,,22.0,,,21.0,,,,,,,,-43.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,-69.0,,,,,,1.0,,,-25.0,,,,,,,,7.0,,,,,,,16.0,,,,,,,,,,12.0,,,15.0,,,,,,,-22.0,,
,,10.0,18.0,-55.0,4258.0,,,,,,-7.0,9.0,4.0,,43.0,14.0,-46.0,-22.0,14.0,-14.0,11.0,,,,0.0,12.0,-14.0,-106.0,30.0,,,-28.0,-6.0,4.0,2.0,,-1.0,4.0,,4.0,,-7.0,,,,-15.0,2.0,,,5.0,,,,17.0,-7.0,17.0,-66.0,18.0,,2.0,,,,6.0,-145.0,14.0,,,-8.0,,8.0,,1.0,,,4.0,3.0,,,9.0,1.0,10.0,,,,,,,,3.0,1.0,,,-31.0,,,,3.0,1.0,,16.0,1.0,4.0,0.0,,5.0,,5.0,16.0,,-19.0,2.0,,22.0,,,-21.0,62.0,15.0,-12.0,5.0,8.0,14.0,,24.0,,,11.0,,-34.0,,13.0,8.0,,26.0,,,-6.0,18.0,74.0,5.0,,15.0,,,,,-29.0,55.0,5.0,,-3.0,8.0,,,7.0,13.0,,6.0,,3.0,3.0,10.0,2.0,,4.0,5.0,,80.0,4.0,,-99.0,-9.0,5.0,,,3.0,4.0,4.0,2.0,,-5.0,,,,,-4.0,4.0,,,15.0,,,3.0,7.0,,0.0,,66.0,6.0,0.0,8.0,2.0,-25.0,,5.0,20.0,,-30.0,,,,,-246.0,-8.0,,,-34.0,4.0,6.0,,36.0,-35.0,,8.0,-88.0,6.0,,83.0,5.0,8.0,,3.0,,,-44.0,-2.0,,-40.0,,,4.0,3.0,5.0,7.0,,,-14.0,2.0,26.0,2.0,-1.0,18.0,66.0,,8.0,,,1.0,33.0,11.0,2.0,0.0,,,2.0,,,4.0,9.0,,3.0,-8.0,9.0,,,-14.0,12.0,19.0,,-3.0,,,,3.0,,,,,13.0,,38.0,,,-13.0,,,,18.0,-18.0,,4.0,,,31.0,,,3.0,,7.0,-46.0,,4.0,3.0,-15.0,,7.0,12.0,-181.0,4.0,,6.0,,-17.0,4.0,,5.0,-995.0,,,,,,3.0,,21.0,,-5.0,4.0,9.0,-93.0,,,,-13.0,2.0,,8.0,4.0,6.0,6.0,3.0,,-4.0,16.0,45.0,42.0,,,,-40.0,,,58.0,4.0,-84.0,8.0,,,7.0,18.0,0.0,16.0,,,-10.0,23.0,,,6.0,2.0,,5.0,,-2.0,-14.0,,-177.0,3.0,19.0,26.0,,8.0,,,-54.0,,5.0,
,15.0,,,,584.0,,,,,,,,,,,,,,-56.0,,,,,,,,,,,-179.0,,,,,,,,,,,,,12.0,,,,,5.0,,,,,43.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,13.0,,,,,,-34.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,17.0,,,,,,,,24.0,,,,,,,,,,,,,11.0,,,,,,20.0,39.0,36.0,,,,,,30.0,,10.0,,-34.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,19.0,,,15.0,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,-30.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46.0,,,,,,-71.0,,,-4.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,13.0,,,18.0,,,,,,,-3.0,,
12.0,,,,,-1904.0,8.0,,,,,,,,,,,-2026.0,,,,,,-6.0,4.0,,,,,,,-31.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,-523.0,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,-54.0,,,,7.0,-88.0,2.0,,,,,,,-14.0,-6.0,,,,,,,,-6.0,,,,,,,,0.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,-213.0,,,,,,,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,20.0,,,,,,,4.0,,,-116.0,,,,,,,,24.0,,,,,,,,,,,,,,,,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,-16.0,,6.0,4.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,-291.0,,,,,,,,,,,,,,-261.0,,,,,,,,,,,,,,,,31.0,,,,,72.0,31.0,37.0,,,,,,,,,,,,,,-179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,7.0,,,14.0,,-64.0,,,,,,,,,,,,,,,39.0
,,-2.0,-370.0,-136.0,-20915.0,,,2.0,-1.0,,-101.0,-20.0,-1.0,-4.0,-724.0,7.0,-696.0,-1030.0,-32.0,-9.0,-4.0,-6.0,,,-1.0,0.0,6.0,-219.0,-275.0,7.0,,-616.0,-42.0,3.0,2.0,,-27.0,2.0,37.0,-32.0,,-38.0,,,-22.0,-5.0,-1.0,-12.0,,-11.0,,-27.0,,-15.0,47.0,127.0,8.0,-35.0,,-2.0,,-17.0,4.0,-5.0,-897.0,-33.0,0.0,2.0,1.0,-32.0,4.0,5.0,-16.0,,,-7.0,1.0,-104.0,2.0,-30.0,-4.0,-32.0,,,0.0,,,,,0.0,-10.0,,30.0,-7.0,,,,-6.0,-101.0,4.0,-43.0,-23.0,1.0,-42.0,,0.0,0.0,-3.0,-289.0,-53.0,-85.0,-3.0,,-389.0,,-54.0,-12.0,14.0,-1400.0,-4.0,-3703.0,-4.0,-52.0,,-1.0,-7.0,,-9.0,,-15.0,6.0,-99.0,-2.0,-12.0,10.0,-20.0,,-1.0,-873.0,-85.0,-15.0,,3.0,,-47.0,14.0,,-9.0,-153.0,2.0,,-39.0,4.0,7.0,,4.0,-66.0,,0.0,,1.0,-3.0,-7.0,-9.0,,1.0,-177.0,-59.0,63.0,0.0,-4.0,-1268.0,-70.0,-14.0,23.0,,3.0,-2.0,-12.0,-3.0,,-39.0,3.0,-35.0,,,-9.0,2.0,,15.0,6.0,,8.0,-4.0,-4.0,,-2.0,,-1328.0,-2.0,-75.0,-84.0,-10.0,-85.0,,-38.0,-41.0,,-37.0,11.0,-54.0,,,,-114.0,,-122.0,-6.0,-5.0,-19.0,-7.0,-18.0,-339.0,-14.0,-40.0,-180.0,1.0,6.0,-138.0,-9.0,-10.0,,-1.0,,,-17.0,-73.0,3.0,-8.0,-5.0,3.0,4.0,-4.0,-37.0,-9.0,2.0,,-145.0,1.0,-25.0,-4.0,-36.0,-805.0,-838.0,4.0,-11.0,,,-12.0,-126.0,-25.0,-2.0,-30.0,,,-8.0,,,-12.0,-5.0,,-3.0,-72.0,7.0,-3.0,-35.0,-7.0,8.0,13.0,3.0,1.0,-49.0,,,-48.0,,-1.0,-2.0,-3.0,-20.0,0.0,-30.0,,82.0,-234.0,-9.0,,-81.0,-181.0,-15.0,,3.0,,3.0,-196.0,3.0,,-2.0,,2.0,-19.0,-52.0,0.0,-1.0,4.0,-48.0,-498.0,-25.0,-759.0,3.0,-22.0,-4.0,,-31.0,-12.0,-49.0,3.0,-579.0,,,0.0,2.0,,-8.0,,-171.0,3.0,-3.0,-1.0,-5.0,-917.0,12.0,1.0,,-229.0,2.0,-7.0,3.0,-1.0,6.0,4.0,1.0,,-32.0,-54.0,-129.0,-412.0,-59.0,,,-8.0,,,34.0,-3.0,-388.0,3.0,,,6.0,-186.0,-4.0,-89.0,,1.0,0.0,-16.0,-1.0,,-3.0,2.0,,-72.0,,-330.0,-179.0,-58.0,-237.0,-9.0,13.0,20.0,3.0,-7.0,-44.0,-50.0,-9.0,,3.0,
,,-15.0,0.0,-27.0,-24515.0,,,-4.0,1.0,,-883.0,-72.0,-5.0,-4.0,-544.0,-200.0,-327.0,-35.0,10.0,-4.0,-50.0,-2.0,,,0.0,-108.0,-153.0,-58.0,12.0,-21.0,,-1751.0,-42.0,-3.0,-4.0,,-1.0,-16.0,,-230.0,,-8.0,,,,-1.0,-13.0,,,-47.0,,,,-312.0,-588.0,-6018.0,-562.0,1.0,,-12.0,,,4.0,-72.0,-100.0,-3.0,2.0,,2.0,,-8.0,6.0,-147.0,,,-63.0,-117.0,,1.0,-148.0,-59.0,-10.0,,,-2.0,,,,,-4.0,-5.0,,,1.0,,,,-19.0,-62.0,1.0,-36.0,-33.0,-36.0,-42.0,,5.0,-4.0,-16.0,-117.0,,-373.0,1.0,,9.0,,,1.0,-803.0,18.0,1.0,-3.0,-40.0,-61.0,,-21.0,,,-26.0,,-5.0,,-41.0,-58.0,-1.0,-71.0,,,1.0,-24.0,-1207.0,-14.0,,-22.0,,,,,-1.0,-174.0,-42.0,,-19.0,-10.0,,,6.0,-31.0,,-4.0,,-3.0,-13.0,-41.0,-70.0,,-14.0,-46.0,,60.0,-21.0,2.0,-131.0,-49.0,-35.0,,,1.0,-7.0,1.0,-1.0,,-75.0,2.0,,,,-123.0,1.0,,14.0,-44.0,,8.0,1.0,-52.0,,-10.0,,-729.0,-5.0,-178.0,-43.0,-10.0,-29.0,,-14.0,-27.0,,-26.0,,-14.0,,,-52.0,,,,-2.0,-8.0,-13.0,,18.0,-96.0,,-142.0,-12.0,1.0,5.0,-1551.0,-59.0,-23.0,,-32.0,,,-6.0,-80.0,3.0,-411.0,0.0,3.0,1.0,-2.0,-24.0,0.0,1.0,,-78.0,-2.0,-1667.0,3.0,-248.0,-116.0,-436.0,-11.0,-24.0,,,-5.0,-31.0,-33.0,0.0,-2.0,,,-1.0,,,-17.0,-27.0,,-12.0,-48.0,-6.0,-1.0,,-1.0,-32.0,18.0,-2.0,1.0,,,,-7.0,,1.0,2.0,2.0,-30.0,,-14.0,,,-103.0,1.0,,,-111.0,-3.0,,-7.0,,2.0,-149.0,3.0,,-1.0,,-45.0,-4.0,,-3.0,-5.0,-397.0,,-145.0,-206.0,-9.0,-2.0,,-24.0,,-3.0,-125.0,,-3.0,-882.0,,,2.0,2.0,,-135.0,,-35.0,,1.0,-74.0,-247.0,-109.0,-14.0,-5.0,,-15.0,-10.0,,-3.0,-15.0,6.0,6.0,0.0,,-21.0,-27.0,-36.0,-178.0,-9.0,,,0.0,,,-106.0,-15.0,-741.0,6.0,,,1.0,-174.0,-10.0,-38.0,,0.0,-128.0,-66.0,1.0,,-15.0,-2.0,,-27.0,,-684.0,-194.0,,27.0,-26.0,5.0,25.0,3.0,-44.0,8.0,,-2.0,,-5.0,
10.0,,,,,2022.0,14.0,,,,,,,,,,,-375.0,,,,,,11.0,,,,,,,,14.0,,,,,27.0,,,,,,,,,,,,,,,,,,,,125.0,-458.0,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,18.0,46.0,,,,,,,,26.0,15.0,,,,,,,,32.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,192.0,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,-2.0,,,,,,,52.0,,,63.0,,,,,56.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,-13.0,,18.0,11.0,,,,,,,,,,,,,,,,18.0,,15.0,,,,,,,36.0,,,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,22.0,,,,,-79.0,13.0,-4.0,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.0,,,10.0,,,2.0,,15.0,,,,,,,,,,,,,,,-107.0
,,,,,172.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,6.0,,,,,,,,,,,,,,,,4.0,,4.0,,,,,72.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-110.0,,,,,,0.0,,,,,,,,,,,,,,10.0,,,,6.0,,,,,-1.0,,,,,-12.0,,120.0,,,,,18.0,,,,7.0,,,,,,,,,,11.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,9.0,,,,
,,,31.0,14.0,9116.0,,,,,,25.0,10.0,,1.0,68.0,19.0,87.0,27.0,20.0,1.0,14.0,,,,2.0,15.0,8.0,-7.0,46.0,,,31.0,12.0,,,,5.0,,,22.0,,6.0,,,,-9.0,,,,,,,,29.0,69.0,106.0,32.0,24.0,,,,,,8.0,-27.0,28.0,,,-1.0,,,,10.0,,,8.0,7.0,,,10.0,4.0,19.0,,,,,,,,4.0,4.0,,,-37.0,,,,,23.0,,30.0,7.0,,5.0,,10.0,,4.0,29.0,,22.0,2.0,,36.0,,,-47.0,81.0,42.0,1.0,94.0,11.0,,,28.0,,,19.0,,0.0,,22.0,12.0,,39.0,,,0.0,33.0,117.0,7.0,,21.0,,,,,-1.0,86.0,14.0,,8.0,,,,,,,,,,6.0,13.0,11.0,,,21.0,,96.0,4.0,,36.0,11.0,7.0,,,3.0,,5.0,,,12.0,,,,,6.0,,,,18.0,,,4.0,11.0,,,,134.0,,29.0,11.0,,3.0,,,39.0,,-5.0,,-15.0,,,-98.0,95.0,,,,6.0,6.0,,,10.0,,12.0,-10.0,,,108.0,8.0,14.0,,,,,-1.0,17.0,,16.0,,,,4.0,,,,,21.0,,61.0,,10.0,147.0,90.0,,14.0,,,,55.0,22.0,,4.0,,,,,,13.0,12.0,,,9.0,,,,0.0,19.0,23.0,,1.0,,,,,,,,,21.0,,,,,22.0,,,,28.0,-28.0,,,,,64.0,,,,,10.0,-25.0,,,,34.0,,50.0,17.0,-74.0,,,,,3.0,9.0,,5.0,-290.0,,,,,,14.0,,33.0,,-5.0,7.0,21.0,23.0,,,,11.0,,,,,6.0,,3.0,,6.0,21.0,65.0,125.0,,,,1.0,,,79.0,,70.0,,,,8.0,26.0,,24.0,,,16.0,28.0,,,,,,,,50.0,29.0,,15.0,5.0,,30.0,,9.0,,,-21.0,,,
,,9.0,12.0,25.0,6944.0,,,,2.0,,21.0,8.0,4.0,1.0,-11.0,16.0,170.0,10.0,25.0,,10.0,0.0,,,3.0,11.0,10.0,14.0,13.0,12.0,,46.0,13.0,,4.0,,5.0,,,11.0,,7.0,,,,,,,,5.0,,,,20.0,62.0,119.0,50.0,7.0,,,,,,,-11.0,-38.0,,,,,,,6.0,,,6.0,6.0,,,10.0,4.0,9.0,,,,,,,,,5.0,,,,,,,4.0,,5.0,16.0,6.0,6.0,9.0,,3.0,,,4.0,,3.0,,,2.0,,,,51.0,9.0,1.0,21.0,9.0,7.0,,18.0,,,6.0,,3.0,,8.0,,1.0,26.0,,,,22.0,65.0,6.0,,15.0,,,,,2.0,49.0,,,,-2.0,,,1.0,12.0,,,,,,11.0,9.0,,5.0,-2.0,,54.0,4.0,,31.0,6.0,5.0,,,,3.0,4.0,,,6.0,,,,,3.0,0.0,,,12.0,,2.0,3.0,,,0.0,,61.0,3.0,15.0,3.0,1.0,,,2.0,27.0,,6.0,,9.0,,,92.0,61.0,,,,,5.0,,9.0,21.0,,-24.0,12.0,,,31.0,6.0,13.0,,,,,3.0,12.0,,21.0,1.0,1.0,,3.0,7.0,,3.0,,6.0,2.0,45.0,2.0,9.0,-2.0,-67.0,,2.0,,,3.0,-37.0,8.0,,,,,2.0,,,7.0,-16.0,,2.0,,5.0,,,,-63.0,16.0,,,,,,,,,,,13.0,,31.0,,,25.0,1.0,,,17.0,,,,,,25.0,2.0,,,,6.0,4.0,,5.0,4.0,17.0,,34.0,13.0,-8.0,,,5.0,,8.0,6.0,,0.0,144.0,,,,,,6.0,,16.0,,,6.0,15.0,47.0,10.0,,,19.0,3.0,,5.0,4.0,,,3.0,,7.0,18.0,39.0,18.0,22.0,,,,,,51.0,-3.0,13.0,,,,-1.0,19.0,3.0,8.0,,,20.0,19.0,,,5.0,2.0,,4.0,,36.0,,,52.0,3.0,-36.0,12.0,3.0,8.0,1.0,,4.0,,5.0,
,,0.0,-8.0,17.0,4313.0,,,2.0,2.0,,10.0,8.0,-64.0,-5.0,2.0,14.0,134.0,-1.0,23.0,,-16.0,,,,2.0,5.0,3.0,12.0,40.0,1.0,,32.0,-3.0,-3.0,-62.0,,4.0,2.0,,-22.0,,3.0,,,,2.0,1.0,,,-37.0,,,,12.0,63.0,144.0,42.0,18.0,,3.0,,,,1.0,12.0,10.0,,,,,4.0,,-2.0,,,4.0,0.0,,-20.0,1.0,4.0,-126.0,,,,,,,,,5.0,,,5.0,,,,1.0,11.0,3.0,-24.0,6.0,5.0,8.0,,4.0,1.0,2.0,-6.0,,-5.0,,,25.0,,,3.0,-13.0,25.0,,-65.0,6.0,7.0,,-84.0,,,1.0,,2.0,,-17.0,-5.0,1.0,19.0,,,,3.0,-24.0,3.0,,7.0,,,,,2.0,-29.0,4.0,,4.0,6.0,,,7.0,10.0,,2.0,,3.0,0.0,-2.0,-4.0,,4.0,-1.0,,-126.0,4.0,2.0,-278.0,-6.0,-21.0,,,,1.0,2.0,-1.0,,-17.0,,,,,1.0,3.0,,,10.0,,,1.0,7.0,,1.0,,-230.0,4.0,-64.0,-3.0,-5.0,2.0,,-5.0,-102.0,,6.0,,8.0,,,126.0,43.0,,,4.0,-2.0,,,,-2.0,,3.0,4.0,,,63.0,3.0,5.0,,3.0,,,3.0,6.0,3.0,10.0,1.0,,1.0,4.0,6.0,5.0,,,0.0,-17.0,31.0,1.0,0.0,-80.0,12.0,5.0,-4.0,,,4.0,-96.0,-23.0,0.0,5.0,,,2.0,,,2.0,6.0,,2.0,-2.0,5.0,2.0,,1.0,14.0,8.0,,,,,,-3.0,,,,3.0,-133.0,,21.0,,,3.0,0.0,,,-5.0,3.0,,-4.0,,1.0,-58.0,,,,,6.0,4.0,,3.0,-45.0,12.0,,35.0,0.0,-2.0,-1.0,,4.0,,6.0,-4.0,,3.0,124.0,,,2.0,2.0,,2.0,,27.0,,,3.0,11.0,28.0,-11.0,,,21.0,3.0,,0.0,-32.0,,,,,6.0,15.0,-75.0,-161.0,3.0,,,,,,-71.0,-1.0,26.0,,,,6.0,15.0,3.0,9.0,,,19.0,18.0,,,1.0,,,0.0,,22.0,-1.0,,50.0,3.0,16.0,11.0,3.0,-74.0,3.0,,3.0,,4.0,
,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,11.0,,,,,19.0,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-428.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,-3.0,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
